goodreads_id,title,author,isbn,isbn13,rating,status,date_read,date_added,favorite,review
23515727,No Country for Old Men,Cormac McCarthy,0375706674,9780375706677,4,read,2026/06/16,2024/07/21,false,
53205854,"Fugitive Telemetry (The Murderbot Diaries, #6)",Martha Wells,1250765374,9781250765376,0,read,2026/06/25,2023/01/24,false,
163998075,"Smuggler's Valor (Reese Daniels Smuggler, #1)",T.D. Wilson,,,0,read,2026/06/04,2026/06/04,false,
11588,"The Shining (The Shining, #1)",Stephen King,0450040186,9780450040184,4,read,2026/06/03,2024/10/22,false,"<img src=""https://static.wikia.nocookie.net/megapedia/images/2/23/Absolute_Cinema.png/revision/latest/scale-to-width-down/860?cb=20250921020702"" />"
36642458,"Skyward (Skyward, #1)",Brandon Sanderson,1473217857,9781473217850,0,read,2026/05/19,2025/03/02,false, - what’s the chance that i’m listening to the murderbot diaries for the 3rd time and there’s a M-bot spaceship with a sensitive personality in this book?<br/><br/>- the 17 years old characters feel very “young” but maybe it’s just that they’re usually portrayed at much older than they actually are; it’s “weird”
35519109,"Exit Strategy (The Murderbot Diaries, #4)",Martha Wells,1250229863,,4,read,2026/06/16,2023/01/24,false,"Ah, man, this really wasn’t my favourite Murderbot story so far. It had a lot of book 2 and not nearly enough of book 1 and 3.<br/>For me, this story really didn’t have much for Murderbot to shine and it seemed, similar to book 2, that most of the story was about getting from point A to point B. Not enough scenarios for Murderbot to find a bit more about themselves, or for them to use newly acquired insights.<br/>Apart from their reboot (which I was hoping for it to last a lot longer since it was incredibly funny), not much captivated me here.<br/>But it’s still Murderbot so 4⭐️ it is!"
35519101,"Rogue Protocol (The Murderbot Diaries, #3)",Martha Wells,1250191785,9781250191786,5,read,2026/05/18,2023/01/24,false,Book 3 proves that I will never not love Murderbot! This may make the reviews biased but... who cares? - smiling emoji -<br/>Murderbot has enough of both worlds (organic and non-organic worlds) to make him (her? it? them?) a vulnerable but powerful entity. This book explores a lot more of Murderbot emotions since he ends up dealing with very emotional humans (and bots) so it's a nice counter for book 2.<br/>Bring me book 4 so I can keep binging on this series!
36223860,"Artificial Condition (The Murderbot Diaries, #2)",Martha Wells,,,5,read,2026/05/11,2023/01/24,false,The book felt short and wasn’t as groundbreaking as the first but I still love Murderbot and I understand that some books may just be character / plot developers so I’m keeping the 5⭐️
608474,"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,,,0,read,2026/05/09,2026/05/03,false,
42244267,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,1501977822,9781501977824,5,read,2026/05/05,2022/11/20,false,"A refreshing and approachable story within SciFi is always a good thing since it makes it easier to get into the genre and that's precisely what 'All System Red' is!<br/><br/>While I found the plot or narrative a bit confusing at times, I kept pushing it because I was invested in Murderbot (and you can tell from the other reviews that that's something common).<br/><br/>I listened to the audiobook narrated by Kevin R. Free and I can happily say that I've now ordered the 4 books from The Murderbot Diaries to binge on them "
93628201,The Country of the Saints,Arthur Conan Doyle,198078244X,9781980782445,0,read,2026/05/03,2026/05/02,false,
102868,"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,1420925539,9781420925531,3,read,2026/05/02,2026/05/01,false,
