Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23515727,No Country for Old Men,Cormac McCarthy,"McCarthy, Cormac",,"=""0375706674""","=""9780375706677""",4,Vintage International,Paperback,309,2006,2005,2026/06/15,2024/07/21,,,read,,,,1,0
163998075,"Smuggler's Valor (Reese Daniels Smuggler, #1)",T.D.  Wilson,"Wilson, T.D.",,"=""""","=""""",0,"Greywalker Press, LLC",Kindle Edition,63,2023,2023,2026/06/04,2026/06/04,,,read,,,,1,0
11588,"The Shining (The Shining, #1)",Stephen  King,"King, Stephen",,"=""0450040186""","=""9780450040184""",4,New English Library,Mass Market Paperback,497,1980,1977,2026/06/03,2024/10/22,,,read,"<img src=""https://static.wikia.nocookie.net/megapedia/images/2/23/Absolute_Cinema.png/revision/latest/scale-to-width-down/860?cb=20250921020702"" />",,,1,0
36642458,"Skyward (Skyward, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""1473217857""","=""9781473217850""",0,Gollancz,Hardcover,513,2018,2018,2026/05/19,2025/03/02,,,read, - what’s the chance that i’m listening to the murderbot diaries for the 3rd time and there’s a M-bot spaceship with a sensitive personality in this book?<br/><br/>- the 17 years old characters feel very “young” but maybe it’s just that they’re usually portrayed at much older than they actually are; it’s “weird”,,,1,0
35519109,"Exit Strategy (The Murderbot Diaries, #4)",Martha Wells,"Wells, Martha",,"=""""","=""""",4,Tordotcom,Kindle Edition,172,2018,2018,2023/11/03,2023/01/24,currently-reading,currently-reading (#2),currently-reading,"Ah, man, this really wasn’t my favourite Murderbot story so far. It had a lot of book 2 and not nearly enough of book 1 and 3.<br/>For me, this story really didn’t have much for Murderbot to shine and it seemed, similar to book 2, that most of the story was about getting from point A to point B. Not enough scenarios for Murderbot to find a bit more about themselves, or for them to use newly acquired insights.<br/>Apart from their reboot (which I was hoping for it to last a lot longer since it was incredibly funny), not much captivated me here.<br/>But it’s still Murderbot so 4⭐️ it is!",,,2,0
35519101,"Rogue Protocol (The Murderbot Diaries, #3)",Martha Wells,"Wells, Martha",,"=""1250191785""","=""9781250191786""",5,Tor.com,Hardcover,159,2018,2018,2023/10/30,2023/01/24,,,read,Book 3 proves that I will never not love Murderbot! This may make the reviews biased but... who cares? - smiling emoji -<br/>Murderbot has enough of both worlds (organic and non-organic worlds) to make him (her? it? them?) a vulnerable but powerful entity. This book explores a lot more of Murderbot emotions since he ends up dealing with very emotional humans (and bots) so it's a nice counter for book 2.<br/>Bring me book 4 so I can keep binging on this series!,,,2,0
36223860,"Artificial Condition (The Murderbot Diaries, #2)",Martha Wells,"Wells, Martha",,"=""""","=""""",5,Tor.com,Hardcover,158,2018,2018,2023/10/28,2023/01/24,,,read,The book felt short and wasn’t as groundbreaking as the first but I still love Murderbot and I understand that some books may just be character / plot developers so I’m keeping the 5⭐️,,,2,0
608474,"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,"Doyle, Arthur Conan",Peter Ackroyd,"=""""","=""""",0,Penguin Classics,Paperback,129,2001,1890,2026/05/09,2026/05/03,,,read,,,,1,0
42244267,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",Kevin R. Free,"=""1501977822""","=""9781501977824""",5,Recorded Books,Audiobook,4,2017,2017,2022/11/23,2022/11/20,,,read,"A refreshing and approachable story within SciFi is always a good thing since it makes it easier to get into the genre and that's precisely what 'All System Red' is!<br/><br/>While I found the plot or narrative a bit confusing at times, I kept pushing it because I was invested in Murderbot (and you can tell from the other reviews that that's something common).<br/><br/>I listened to the audiobook narrated by Kevin R. Free and I can happily say that I've now ordered the 4 books from The Murderbot Diaries to binge on them ",,,3,0
93628201,The Country of the Saints,Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""198078244X""","=""9781980782445""",0,Independently published,Paperback,59,2018,,2026/05/03,2026/05/02,,,read,,,,1,0
102868,"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""1420925539""","=""9781420925531""",3,Digireads.com,Paperback,123,2005,1887,2026/05/02,2026/05/01,,,read,,,,1,0
30118314,"Star Nomad (Fallen Empire, #1)",Lindsay Buroker,"Buroker, Lindsay",,"=""""","=""""",2,,ebook,253,2016,2016,2026/05/01,2026/04/20,,,read,it really feels like a 1sr book of a series and i’m usually not a fan of leaving so much for “later”<br/><br/>Pros:<br/>- somewhat entertaining<br/><br/>Cons:<br/>- pirate stuff went on for too long<br/>- i don’t know if the rape attempt was necessary<br/>- the MC is hurt from a previous encounter and then starts bleeding again from the same wound and it’s not mentioned anymore although it feels like a bad wound (?)<br/>- a bit cliche<br/>- could have more worldbuilding,,,1,0
40275288,"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha Shannon,"Shannon, Samantha",,"=""1408883457""","=""9781408883457""",2,Bloomsbury Publishing,ebook,848,2019,2019,2026/04/19,2026/03/21,,,read,"There’s so much going on that almost nothing really ends up happening. Characters jump around the world<br/>like they’re travelling just to the corner store. People SWIM across boats like it is nothing. Stuff appears out of nowhere and the plot builds itself on a flimsy structure.<br/>The last 15% were the worst as you can feel that there was a need to wrap up the story but seems like little thought was given to the end (dragons vs boats? a character swimming from one boat to another during a battle? characters teleporting? uber enemies dying like they were nothing to fuss about?)<br/>Not everything is bad, as the scenes are beautifully built, and the love story is appropriate, but there’s so much going on that seems badly glued on! I’m glad that I read the book as a ebook because if it was a physical copy (which is a behemoth) this would have probably been a DNF!<br/><br/>Pros:<br/>- at 1/2 of the book we get some backstory and lore of the world - this felt nice<br/>- good description of new places; while they don’t feel necessarily alive, you can tell how beautiful they all are<br/><br/>Cons:<br/>- the first 6 chapters are a bit of a mess for me; there are names, cultures, events, and more, thrown around that lack context - there’s so much room to explain stuff but that ends up not happening. I don’t feel like i should have to read 7+ chapters to understand the fundamental values of the a kingdom but that’s what happens<br/>- the way characters traverse the map makes it feel very tiny - maybe the fault is comparing this to TLoTR, but the journeys that characters take feel meaningless<br/>- i wish there was more lore along the book; there are a lot of names and stuff thrown at you but except for 2 moments, you learn very little about the world and its customs<br/>- i don’t get the point of Niclays Roos other than to be there to give exposition to stuff we wouldn’t know of otherwise<br/>- same way characters traverse the world and make it feel tiny, there are 2/3 instances where characters swim between boats or from/to beaches and they make it seem like that is nothing; it kinda ruins the immersion for me",,,1,0
20417,Have Space Suit—Will Travel,Robert A. Heinlein,"Heinlein, Robert A.",,"=""1416505490""","=""9781416505495""",4,Pocket Books,Paperback,276,2005,1958,2026/04/15,2026/04/03,,,read,"You can tell that Heinlein is a math guy by the amount of math in the book - and there’s a lot of it<br/><br/>Pros:<br/>- whimsical, with likeable characters<br/>- kip’s father deserves a book himself <br/><br/>Cons:<br/>- suffers from pacing problems - remember when i told Heinlein liked math? How about if there’s a big chunk just about how big a room is and how much water is needed, and at what speed, to fill it? Or how you can calculate the distance and angle of your moon stroll based on where earth is?",,,1,0
